=======================================================================================
STRINGS DATA FILE
=======================================================================================

=======================================================================================
*BEGIN*
=======================================================================================

Language Version 1                                     := (English)
ExecMnip 16                                            := because there is already a warp
ExecMnip 17                                            := point to that system.
ExecMnip 18                                            := because there are already the
ExecMnip 19                                            := maximum of
ExecMnip 20                                            := warp points in
ExecMnip 21                                            := one of the two systems.
ExecMnip 22                                            := because the distance of
ExecMnip 23                                            := light years is greater than the ship's open warp point
ExecMnip 24                                            := capability.
ExecMnip 25                                            := does not have any movement remaining.
ExecMnip 26                                            := does not have the required component.
ExecMnip 27                                            := does not have the required supply to power the component.
ExecMnip 28                                            := cannot execute the device because
ExecMnip 29                                            := there are enemies present in the sector.
ExecMnip 30                                            := cannot perform this action while cloaked.
ExecMnip 31                                            := The
ExecMnip 32                                            := system is protected from opening warp points.
ExecMnip 33                                            := A warp point cannot be opened into the same system where it originates.
ExecMnip 34                                            := Warp Point Minister: The warp point at
ExecMnip 35                                            := system has closed, sire.
ExecMnip 36                                            := system has been
ExecMnip 37                                            := closed by the
ExecMnip 38                                            := Warp Point Closed
ExecMnip 39                                            := system has mysteriously closed, sire.
ExecMnip 40                                            := Cannot Close Warp Point
ExecMnip 41                                            := cannot close the warp point because
ExecMnip 42                                            := there isn't one present.
ExecMnip 43                                            := system is protected from closing warp points.
ExecMnip 44                                            := Storm
ExecMnip 45                                            := This storm is opaque to most scanners.
ExecMnip 46                                            := Turbulence causes damage to space vehicles.
ExecMnip 47                                            := Ion radiation renders all shields useless.
ExecMnip 48                                            := Cannot Create Storm
ExecMnip 49                                            := cannot create a storm unless the
ExecMnip 50                                            := location is empty.
ExecMnip 51                                            := Cannot Destroy Storm
ExecMnip 52                                            := cannot destroy the storm because
ExecMnip 53                                            := there is no storm at these coordinates.
ExecMnip 54                                            := there are enemies present at those coordinates.
ExecMnip 55                                            := Planetary Minister: A new planet has been created
ExecMnip 56                                            := Planetary Minister: The
ExecMnip 57                                            := has created a new planet at
ExecMnip 58                                            := We had a colony of
ExecMnip 59                                            := M in the asteroid belt that used to be there.
ExecMnip 60                                            := M in the asteroid belt they destroyed to make
ExecMnip 61                                            := the planet.
ExecMnip 62                                            := New Planet Created
ExecMnip 63                                            := Cannot Create Planet
ExecMnip 64                                            := cannot create a new planet
ExecMnip 65                                            := because there is no star in this solar system.
ExecMnip 66                                            := cannot create a planet unless
ExecMnip 67                                            := there are asteroids at those coordinates.
ExecMnip 68                                            := Planetary Minister: Planet
ExecMnip 69                                            := which resided in the
ExecMnip 70                                            := system has been utterly destroyed, sire.
ExecMnip 71                                            := has destroyed the planet
ExecMnip 72                                            := which resided at
ExecMnip 73                                            := M on the planet.
ExecMnip 74                                            := Planet Destroyed
ExecMnip 75                                            := Cannot Destroy Planet
ExecMnip 76                                            := cannot destroy the specified
ExecMnip 77                                            := planet because its size exceeds the destroy planet capabilities
ExecMnip 78                                            := of the ship.
ExecMnip 79                                            := planet because it is protected against planet destroying weapons.
ExecMnip 80                                            := cannot destroy the planet because
ExecMnip 81                                            := there is no planet present.
ExecMnip 82                                            := there are enemies present at that location.
ExecMnip 83                                            := cannot perform this action while cloaked.
ExecMnip 84                                            := Star
ExecMnip 85                                            := Planetary Minister: A new star has been created
ExecMnip 86                                            := has created a new star at
ExecMnip 87                                            := Star Created
ExecMnip 88                                            := Cannot Create Star
ExecMnip 89                                            := cannot create a star unless
ExecMnip 90                                            := it is in the very center of a solar system.
ExecMnip 91                                            := cannot create a star if there
ExecMnip 92                                            := is already one in the system.
ExecMnip 93                                            := is a construction around a star already present.
ExecMnip 94                                            := is a nebulae in the system.
ExecMnip 95                                            := is a black hole in the system.
ExecMnip 96                                            := Planetary Minister: The star in the
ExecMnip 97                                            := system has exploded. The resulting
ExecMnip 98                                            := shockwave has destroyed all planets and ships in the
ExecMnip 99                                            := system, sire.
ExecMnip 100                                           := has destroyed the star in the
ExecMnip 101                                           := system. The resulting
ExecMnip 102                                           := We had
ExecMnip 103                                           := colonies in the system with a total population of
ExecMnip 104                                           := people.
ExecMnip 105                                           := We lost
ExecMnip 106                                           := ship
ExecMnip 107                                           := to the shockwave.
ExecMnip 108                                           := Star Destroyed
ExecMnip 109                                           := Cannot Destroy Star
ExecMnip 110                                           := cannot destroy the star because
ExecMnip 111                                           := there is no star at these coordinates.
ExecMnip 112                                           := there are enemies present.
ExecMnip 113                                           := cannot destroy the specified star because
ExecMnip 114                                           := it is protected against such attacks.
ExecMnip 115                                           := A nebulae system.
ExecMnip 116                                           := This storm is opaque to most scanners.
ExecMnip 117                                           := Planetary Minister: The star in the
ExecMnip 118                                           := system has exploded into a massive nebulae. The resulting
ExecMnip 119                                           := shockwave has destroyed all planets and ships in the
ExecMnip 120                                           := system, sire.
ExecMnip 121                                           := Planetary Minister: The
ExecMnip 122                                           := has exploded the star in the
ExecMnip 123                                           := system into a massive nebulae. The resulting
ExecMnip 124                                           := shockwave has destroyed all planets and ships in the
ExecMnip 125                                           := system, sire.
ExecMnip 126                                           := We had
ExecMnip 127                                           := colonies in the system with a total population of
ExecMnip 128                                           := people.
ExecMnip 129                                           := We lost
ExecMnip 130                                           := ship
ExecMnip 131                                           := to the shockwave.
ExecMnip 132                                           := Nebulae Created
ExecMnip 133                                           := cannot construct because
ExecMnip 134                                           := Cannot Create Nebulae
ExecMnip 135                                           := cannot create a nebulae because
ExecMnip 136                                           := cannot create a nebulae in this system because it is protected against such attacks.
ExecMnip 137                                           := Standard solar system.
ExecMnip 138                                           := Planetary Minister: The nebulae in the
ExecMnip 139                                           := system has been destroyed, sire.
ExecMnip 140                                           := Planetary Minister: The
ExecMnip 141                                           := has destroyed the nebulae that spanned the
ExecMnip 142                                           := system, sire.
ExecMnip 143                                           := Nebulae Destroyed
ExecMnip 144                                           := Cannot Destroy Nebulae
ExecMnip 145                                           := cannot destroy the nebulae because there is none present in this system.
ExecMnip 146                                           := Black hole system. A black hole is a star which has collapsed in on itself until it has become so dense that even light cannot escape its gravitational pull.
ExecMnip 147                                           := All ships will be moved 2 sectors towards the center each turn.
ExecMnip 148                                           := The center of the blackhole will destroy any ships that enter it.
ExecMnip 149                                           := Heavy gravitation causes all shields to be useless.
ExecMnip 150                                           := Planetary Minister: The star in the
ExecMnip 151                                           := system has collaped into a massive black hole. The resulting gravitational singularity has destroyed all planets and ships in the system, sire.
ExecMnip 152                                           := Planetary Minister: The
ExecMnip 153                                           := has collapsed the star in the
ExecMnip 154                                           := system into a massive black hole. The resulting gravitational singularity has destroyed all planets and ships in the system, sire.
ExecMnip 155                                           := We had
ExecMnip 156                                           := colonies in the system with a total population of
ExecMnip 157                                           := people.
ExecMnip 158                                           := We lost
ExecMnip 159                                           := ship
ExecMnip 160                                           := to the shockwave.
ExecMnip 161                                           := Black Hole Created
ExecMnip 162                                           := Cannot Create Black Hole
ExecMnip 163                                           := cannot create a black hole because
ExecMnip 164                                           := cannot create a black hole in this system because it is protected against such attacks.
ExecMnip 165                                           := Standard solar system.
ExecMnip 166                                           := Planetary Minister: The black hole in the
ExecMnip 167                                           := system has collapsed, sire.
ExecMnip 168                                           := Planetary Minister: The
ExecMnip 169                                           := has collapsed the black hole in the
ExecMnip 170                                           := system, sire.
ExecMnip 171                                           := Black Hole Destroyed
ExecMnip 172                                           := Cannot Destroy Black Hole
ExecMnip 173                                           := cannot destroy the black hole because there is none present at these coordinates.
ExecMnip 174                                           := Planetary Minister: A new
ExecMnip 175                                           := has been created
ExecMnip 176                                           := at
ExecMnip 177                                           := of the
ExecMnip 178                                           := system, sire.
ExecMnip 179                                           := Planetary Minister: The
ExecMnip 180                                           := has created a
ExecMnip 181                                           := New Stellar Construction Created
ExecMnip 182                                           := Cannot Construct
ExecMnip 183                                           := A
ExecMnip 184                                           := cannot be constructed here because the required materials are not present.
ExecOrdr 1                                             := Our ships have taken damage while moving through
ExecOrdr 2                                             := Damage Taken
ExecOrdr 3                                             := Fleet Minister:
ExecOrdr 4                                             := , sire.
ExecOrdr 5                                             := A vehicle which is constructing items cannot move
ExecOrdr 6                                             := Move
ExecOrdr 7                                             := Unable to Move
ExecOrdr 8                                             := in system
ExecOrdr 9                                             := cannot move because:
ExecOrdr 10                                            := of the
ExecOrdr 11                                            := system
ExecOrdr 12                                            := Attack Sector
ExecOrdr 13                                            := There are enemy ships in the target sector. Do you want to enter that sector?
ExecOrdr 14                                            := Our forces at
ExecOrdr 15                                            := system have encountered a mine field.
ExecOrdr 16                                            := We have lost
ExecOrdr 17                                            := ship
ExecOrdr 18                                            := to the mines.
ExecOrdr 19                                            := Some of our ships took damage from mine explosions.
ExecOrdr 20                                            := Our mine sweepers were able to remove
ExecOrdr 21                                            := mine
ExecOrdr 22                                            := Minefield
ExecOrdr 23                                            := Military Minister: Our forces have
ExecOrdr 24                                            := been damaged by
ExecOrdr 25                                            := encountered
ExecOrdr 26                                            := a mine field
ExecOrdr 27                                            := at
ExecOrdr 28                                            := system, sire.
ExecOrdr 29                                            := Our mine sweepers were able to eliminate
ExecOrdr 30                                            := Minefield Encountered
ExecOrdr 31                                            := Military Minister: Our mine field at
ExecOrdr 32                                            := system has been encountered by the
ExecOrdr 33                                            := Empire, sire.
ExecOrdr 34                                            := They have lost
ExecOrdr 35                                            := to our mines.
ExecOrdr 36                                            := They have successfully swept the field of
ExecOrdr 37                                            := Minefield Triggered
ExecOrdr 38                                            := There is no planet here to colonize.
ExecOrdr 39                                            := This planet cannot be colonized.
ExecOrdr 40                                            := There is already a colony on this planet.
ExecOrdr 41                                            := A cloaked ship cannot colonize a planet.
ExecOrdr 42                                            := Unable to colonize
ExecOrdr 43                                            := New Colony in
ExecOrdr 44                                            := Colonization Minister: A new colony
ExecOrdr 45                                            := has been created on planet
ExecOrdr 46                                            := in the
ExecOrdr 47                                            := Colonize
ExecOrdr 48                                            := Unable to Colonize
ExecOrdr 49                                            := Colonization Minister: Our colonizer in system
ExecOrdr 50                                            := failed because:
ExecOrdr 51                                            := Ruins Discovered
ExecOrdr 52                                            := Colonization Minister: Our new colony
ExecOrdr 53                                            := has discovered advanced technology from the ruins on planet
ExecOrdr 54                                            := A cloaked ship cannot load cargo
ExecOrdr 55                                            := No cargo was loaded by ship
ExecOrdr 56                                            := because it cannot contain any more cargo
ExecOrdr 57                                            := Load Cargo
ExecOrdr 58                                            := Unable to Load Cargo
ExecOrdr 59                                            := Cargo Minister:
ExecOrdr 60                                            := cannot load cargo because:
ExecOrdr 61                                            := No cargo can be loaded from
ExecOrdr 62                                            := because it is quarantined with a plague.
ExecOrdr 63                                            := A cloaked ship cannot drop cargo
ExecOrdr 64                                            := No cargo was dropped by ship
ExecOrdr 65                                            := because the location cannot hold
ExecOrdr 66                                            := anymore cargo
ExecOrdr 67                                            := Drop Cargo
ExecOrdr 68                                            := Unable to Drop Cargo
ExecOrdr 69                                            := cannot drop cargo because:
ExecOrdr 70                                            := A cloaked ship cannot lay mines
ExecOrdr 71                                            := The maximum number of mines (in space) per player is
ExecOrdr 72                                            := . No more mines may be layed.
ExecOrdr 73                                            := You can remove old mines by self-destructing them
ExecOrdr 74                                            := Lay Mines
ExecOrdr 75                                            := Unable to Lay Mines
ExecOrdr 76                                            := Mine Minister:
ExecOrdr 77                                            := cannot lay mines because:
ExecOrdr 78                                            := A cloaked ship cannot launch units.
ExecOrdr 79                                            := Launch Units
ExecOrdr 80                                            := Unable to Launch Units
ExecOrdr 81                                            := Unit Minister:
ExecOrdr 82                                            := cannot launch units while it is cloaked, sire.
ExecOrdr 83                                            := A cloaked ship cannot recover units.
ExecOrdr 84                                            := Recover Units
ExecOrdr 85                                            := cannot recover units while it is cloaked, sire.
ExecOrdr 86                                            := Group Scrapped
ExecOrdr 87                                            := Scrap Minister: Our
ExecOrdr 88                                            := has been scrapped, sire.
ExecOrdr 89                                            := Vehicle Scrapped
ExecOrdr 90                                            := Scrap Minister: Our vehicle
ExecOrdr 91                                            := The retrofit of
ExecOrdr 92                                            := has been completed.
ExecOrdr 93                                            := The vehicle now needs to have its new components repaired.
ExecOrdr 94                                            := Retrofit Successful
ExecOrdr 95                                            := Vehicle Retrofit
ExecOrdr 96                                            := Retrofit Minister: Our vehicle
ExecOrdr 97                                            := has been retrofit.
ExecOrdr 98                                            := The vehicle now needs to have its new components repaired, sire.
ExecOrdr 99                                            := Retrofit Problem
ExecOrdr 100                                           := has not been retrofit, sire.
ExecOrdr 101                                           := Cannot Mothball
ExecOrdr 102                                           := You cannot mothball a ship which is carrying cargo.
ExecOrdr 103                                           := Mothball Minister: Our vehicle
ExecOrdr 104                                           := cannot be mothballed
ExecOrdr 105                                           := because it is carrying cargo.
ExecOrdr 106                                           := You cannot mothball a ship which is cloaked.
ExecOrdr 107                                           := because it is cloaked.
ExecOrdr 108                                           := You can only mothball ships at a spaceyard.
ExecOrdr 109                                           := because it is not in a sector with a spaceyard.
ExecOrdr 110                                           := Ship Mothballed
ExecOrdr 111                                           := was successfully mothballed.
ExecOrdr 112                                           := Cannot Unmothball
ExecOrdr 113                                           := cannot be unmothballed
ExecOrdr 114                                           := because we do not have enough resources.
ExecOrdr 115                                           := because there is no spaceyard present.
ExecOrdr 116                                           := Group Self-Destructed
ExecOrdr 117                                           := Demolition Minister: Our
ExecOrdr 118                                           := has self-destructed, sire.
ExecOrdr 119                                           := Vehicle Self-Destructed
ExecOrdr 120                                           := Demolition Minister: Our vehicle
ExecOrdr 121                                           := Group Destroyed
ExecOrdr 122                                           := has been fired on and destroyed by our ships, sire.
ExecOrdr 123                                           := Vehicle Destroyed
ExecOrdr 124                                           := Planet Minister: Our colony on planet
ExecOrdr 125                                           := has been completely abandoned.
ExecOrdr 126                                           := All facilities in the colony have been scrapped as well, sire.
ExecOrdr 127                                           := Planet Abandoned
ExecOrdr 128                                           := Resource Minister: Our ship
ExecOrdr 129                                           := Resource Minister: Our colony on
ExecOrdr 130                                           := has converted
ExecOrdr 131                                           := to
ExecOrdr 132                                           := Resources Converted
Facility 1                                             := None
Facility 2                                             := One Per Planet
Facility 3                                             := Facility Data File Errors:
Facility 4                                             := Facility Data File Error
Facility 5                                             := This is an invalid data file for this demo version.
Facility 6                                             := Name
Facility 7                                             := Description
Facility 8                                             := Facility Group
Facility 9                                             := Facility Family
Facility 10                                            := Roman Numeral
Facility 11                                            := Restrictions
Facility 12                                            := Pic Num
Facility 13                                            := W
Facility 14                                            := 
Facility 15                                            := %.3d
Facility 16                                            := 
FacilLst 1                                             := x
FacilLst 2                                             := None
FacilLst 3                                             := Technology Minister: Our recent capture of the facilities on
FacilLst 4                                             := planet
FacilLst 5                                             := has resulted in increased knowledge
FacilLst 6                                             := in the technology area of
FacilLst 7                                             := , sire.
Formations 1                                           := Formation Data File Errors:
Formations 2                                           := Name
Formations 3                                           := Description
Formations 4                                           := Leader Position Xpos
Formations 5                                           := Leader Position Ypos
Formations 6                                           := Leader Design Type
Formations 7                                           := Number Of Positions
Formations 8                                           := Position
Formations 9                                           := Xpos
Formations 10                                          := Ypos
Formations 11                                          := Type
FrmIndivReportBaseClass 1                              := Close
FrmIndivReportCombatPiece 1                            := Unable to load "
FrmIndivReportCombatPiece 2                            := Population
FrmIndivReportCombatPiece 3                            := Movement
FrmIndivReportCombatPiece 4                            := Shields
FrmIndivReportCombatPiece 5                            := Damage
FrmIndivReportCombatPiece 6                            := Supply
FrmIndivReportCombatPiece 7                            := Max Targets
FrmIndivReportCombatPiece 8                            := Target
FrmIndivReportCombatPiece 9                            := Combat Group
FrmIndivReportCombatPiece 10                           := Formation
FrmIndivReportCombatPiece 11                           := 0M
FrmIndivReportCombatPiece 12                           := None
FrmIndivReportCombatPiece 13                           := Group
FrmIndivReportCombatPiece 14                           := - Leader
FrmIndivReportCombatPiece 15                           := - Wingman
FrmIndivReportCombatPiece 16                           := Conditions
FrmIndivReportCombatPiece 17                           := Plague
FrmIndivReportDroneGroup 1                             := Unable to load "
FrmIndivReportDroneGroup 2                             := Number of Drones
FrmIndivReportDroneGroup 3                             := Movement
FrmIndivReportDroneGroup 4                             := Supplies
FrmIndivReportFighterGroup 1                           := Unable to load "
FrmIndivReportFighterGroup 2                           := Number of Fighters
FrmIndivReportFighterGroup 3                           := Movement
FrmIndivReportFighterGroup 4                           := Supplies
FrmIndivReportFleet 1                                  := Unable to load "
FrmIndivReportFleet 2                                  := Load Error
FrmIndivReportFleet 3                                  := Unable to load
FrmIndivReportFleet 4                                  := Movement
FrmIndivReportFleet 5                                  := Supply Pool
FrmIndivReportFleet 6                                  := Fleet Experience
FrmIndivReportFleet 7                                  := Formation
FrmIndivReportFleet 8                                  := Strategy
FrmIndivReportFleet 9                                  := Ships In Fleet
FrmIndivReportFleet 10                                 := (Fleet Leader)
FrmIndivReportFleet 11                                 := Close
FrmIndivReportGroupBaseClass 1                         := Close
FrmIndivReportMinefield 1                              := Unable to load "
FrmIndivReportMinefield 2                              := Number of Mines
FrmIndivReportPlanet 1                                 := Unable to load "
FrmIndivReportPlanet 2                                 := Type
FrmIndivReportPlanet 3                                 := Atmosphere
FrmIndivReportPlanet 4                                 := Conditions
FrmIndivReportPlanet 5                                 := Value
FrmIndivReportPlanet 6                                 := Forces of Race
FrmIndivReportPlanet 7                                 := are attempting to conquer the planet.
FrmIndivReportPlanet 8                                 := Forces of the
FrmIndivReportPlanet 9                                 := The planet is also blockaded.
FrmIndivReportPlanet 10                                := Blockaded
FrmIndivReportPlanet 11                                := Population
FrmIndivReportPlanet 12                                := Colony Type
FrmIndivReportPlanet 13                                := Reproduction
FrmIndivReportPlanet 14                                := Mood
FrmIndivReportPlanet 15                                := Resource Production
FrmIndivReportPlanet 16                                := Research
FrmIndivReportPlanet 17                                := Intelligence
FrmIndivReportPlanet 18                                := Under Construction
FrmIndivReportPlanet 19                                := Time Remaining
FrmIndivReportPlanet 20                                := Races)
FrmIndivReportPlanet 21                                := (Domed)
FrmIndivReportPlanet 22                                := % per year
FrmIndivReportPlanet 23                                := Facilities
FrmIndivReportPlanet 24                                := Operated Facilities
FrmIndivReportPlanet 25                                := Cargo Space
FrmIndivReportRace 1                                   := Unable to load "
FrmIndivReportRace 2                                   := Treaty
FrmIndivReportRace 3                                   := Trade
FrmIndivReportRace 4                                   := Mood
FrmIndivReportRace 5                                   := Conquered
FrmIndivReportRace 6                                   := None
FrmIndivReportRace 7                                   := Age
FrmIndivReportRace 8                                   := Culture
FrmIndivReportRace 9                                   := Demeanor
FrmIndivReportRace 10                                  := Home Atmosphere
FrmIndivReportRace 11                                  := Home Planet Type
FrmIndivReportRace 12                                  := Race Directory
FrmIndivReportRace 13                                  := Experience Points
FrmIndivReportRace 14                                  := Biological Description
FrmIndivReportRace 15                                  := Society Description
FrmIndivReportRace 16                                  := General History
FrmIndivReportRace 17                                  := Physical Characteristics
FrmIndivReportRace 18                                  := Vocational Aptitude
FrmIndivReportRace 19                                  := Advanced Traits
FrmIndivReportRace 20                                  := Racial Traits
FrmIndivReportRace 21                                  := Known Technology
FrmIndivReportRace 22                                  := Technology used on our Ships
FrmIndivReportRace 23                                  := Level
FrmIndivReportSatelliteGroup 1                         := Unable to load "
FrmIndivReportSatelliteGroup 2                         := Number of Satellites
FrmIndivReportShip 1                                   := Unable to load "
FrmIndivReportShip 2                                   := Class
FrmIndivReportShip 3                                   := Size
FrmIndivReportShip 4                                   := Movement
FrmIndivReportShip 5                                   := Damage
FrmIndivReportShip 6                                   := Supplies
FrmIndivReportShip 7                                   := Long range scanning being jammed.
FrmIndivReportShip 8                                   := Crew Experience
FrmIndivReportShip 9                                   := Design Type
FrmIndivReportShip 10                                  := Fleet
FrmIndivReportShip 11                                  := Under Construction
FrmIndivReportShip 12                                  := Time Remaining
FrmIndivReportShip 13                                  := Mining Amount
FrmIndivReportShip 14                                  := Maint. Cost
FrmIndivReportShip 15                                  := Status
FrmIndivReportShip 16                                  := Mothballed
FrmIndivReportShip 17                                  := Damaged Components
FrmIndivReportShip 18                                  := Cargo Space
FrmIndivReportStar 1                                   := Unable to load "
FrmIndivReportStar 2                                   := Size
FrmIndivReportStar 3                                   := Age
FrmIndivReportStar 4                                   := Color
FrmIndivReportStar 5                                   := Luminosity
FrmIndivReportStorm 1                                  := Unable to load "
FrmIndivReportStorm 2                                  := Size
FrmIndivReportSystem 1                                 := Unable to load "
FrmIndivReportSystem 2                                 := System
FrmIndivReportWarpPoint 1                              := Unable to load "
FrmIndivReportWarpPoint 2                              := Size
FrmTactical 1                                          := t been set. The child windows won
FrmTactical 2                                          := Quit Space Empires IV
FrmTactical 3                                          := Are you sure you want to end Space Empires IV?
FrmTactical 4                                          := Space Empires IV
FrmTactical 5                                          := - Shareware Version
FrmTactical 6                                          := - Demo Version
FrmTactical 7                                          := (Beta)
FrmTactical 8                                          := Cannot Save
FrmTactical 9                                          := During a simultaneous movement game, the game is saved automatically
FrmTactical 10                                         := when you end your turn.
FrmTactical 11                                         := Save Designs
FrmTactical 12                                         := Do you wish to save your designs with your empire?
FrmTactical 13                                         := Confirm End Turn
FrmTactical 14                                         := Are you sure you want to end your turn?
FrmTactical 15                                         := Cancel Game
FrmTactical 16                                         := Are you sure you want to cancel the current game and start a new one?
FrmTactical 17                                         := Enter Game Master Password
FrmTactical 18                                         := Invalid Password
FrmTactical 19                                         := You have entered an incorrect Game Master Password.
FrmTactical 20                                         := open
FrmTactical 21                                         := Coordinates
FrmTactical 22                                         := Range:
FrmTactical 23                                         := 
FrmTactical 24                                         := Load Error
FrmTactical 25                                         := Unable to load bitmap
FrmTactical 26                                         := Player
FrmTactical 27                                         := taking turn...
FrmTactical 28                                         := Host - Press End Turn to process turn.
FrmTactical 29                                         := Unexplored
FrmTactical 30                                         := Host
FrmTactical 31                                         := Game Date
FrmTactical 32                                         := 
FrmTactical 33                                         := Class
FrmTactical 34                                         := Selected Group
FrmTactical 35                                         := c
FrmTactical 36                                         := 
FrmTactical 37                                         := P
FrmTactical 38                                         := O
FrmTactical 39                                         := I
FrmTactical 40                                         := U
FrmTactical 41                                         := L
FrmTactical 42                                         := S
FrmTactical 43                                         := N
FrmTactical 44                                         := B
FrmTactical 45                                         := F
FrmTactical 46                                         := D
FrmTactical 47                                         := X
FrmTactical 48                                         := M
FrmTactical 49                                         := A
FrmTactical 50                                         := V
FrmTactical 51                                         := H
FrmTactical 52                                         := W
FrmTactical 53                                         := Y
FrmTactical 54                                         := Z
FrmTactical 55                                         := J
FrmTactical 56                                         := K
FrmTactical 57                                         := T
FrmTactical 58                                         := R
FrmTactical 59                                         := Q
FrmTactical 60                                         := E
FrmTactical 61                                         := G
FrmTactical 62                                         := %.4d
FrmTactical 63                                         := 
FrmTactical 64                                         := Orders File Received
GameDebugSettings 1                                    := Show AI State
GameDebugSettings 2                                    := Output AI Information To Log
GameOpt 1                                              := master
GameSaveLoad 1                                         := Load Game
GameSaveLoad 2                                         := SE IV Game
GameSaveLoad 3                                         := 
GameSaveLoad 4                                         := Unable to load game "
GameSaveLoad 5                                         := Load Error
GameSaveLoad 6                                         := Demo Time Expired
GameSaveLoad 7                                         := This demo will only allow you to play for 100 turns.
GameSaveLoad 8                                         := Thank you for playing Space Empires IV.
GameSaveLoad 9                                         := 
GameSaveLoad 10                                        := AutoSav
GameSaveLoad 11                                        := Save Game
GameSaveLoad 12                                        := %6s
GameSaveLoad 13                                        := %6.0d
GameSaveLoad 14                                        := %3.0d
GameSaveLoad 15                                        := Turn Based
GameSaveLoad 16                                        := Simultaneous
GameSaveLoad 17                                        := Same Machine
GameSaveLoad 18                                        := Different Machines
GameSaveLoad 19                                        := %40s
GameSaveLoad 20                                        := Alive
GameSaveLoad 21                                        := Dead
GameSaveLoad 22                                        := Unable to save game "
GameSaveLoad 23                                        := Save Error
GameSaveLoad 24                                        := Unable to load map "
GameSaveLoad 25                                        := Unable to save map "
GameSaveLoad 26                                        := Unable to load empire "
GameSaveLoad 27                                        := Unable to save empire "
GameSaveLoad 28                                        := Unable to save Player Changes File "
GameSaveLoad 29                                        := The player file "
GameSaveLoad 30                                        := " is for date
GameSaveLoad 31                                        := , but the current game date is
GameSaveLoad 32                                        := . Do you want to continue processing the turn?
GameSaveLoad 33                                        := (this player will be controlled by the computer for this turn)
GameSaveLoad 34                                        := Player File Error
GameSaveLoad 35                                        := " is for a different turn
GameSaveLoad 36                                        := than the current game. Do you want to continue processing the turn?
GameSaveLoad 37                                        := " is for a different game
GameSaveLoad 38                                        := than this one. Do you want to continue processing the turn?
